N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
;1;CAPSICUM CAL. RED STD;KOPALMERIA;VEGS&BAGS;VEGS&BAGS;THURSDAY UP ALMERIA;;€ 0,80;;KG;;;;;2021.02.11;ALMERIA;GHU 151;KUONI;RZR 011 / WCW 983;€ 3 400;2021.02.14;;;;;;;;;;;;;;;;
;1;CUCUMBER DUTCH I 12PZS;KOPALMERIA;VEGS&BAGS;VEGS&BAGS;THURSDAY UP ALMERIA;;€ 0,85;;KG;;;;;2021.02.11;ALMERIA;GHU 151;KUONI;RZR 011 / WCW 983;€ 3 400;2021.02.14;;;;;;;;;;;;;;;;
10;;TESCO HU 141/C;KOPFSALAT;KOPFSALAT;TESCO HU 141/C;TUESDAY;;;;;;;;;2021.02.11;ALMERIA;GHU 151;KUONI;RZR 011 / WCW 983;€ 3 400;2021.02.14;;;;;;;;;;;;;;;;
;10;CAPSICUM PALERMO IFCO;COCO;GHU;ALDI;THURSDAY UP ALMERIA;;€ 1,40;;KG;€ 0,00; € -   ;COC022-A20-198;1;2021.02.11;ALMERIA;GHU 151;KUONI;RZR 011 / WCW 983;€ 3 400;2021.02.14;;;;;;;;;;;;;;;;
;2;CAPSICUM CAL. RED I;COCO;GHU;ALDI;THURSDAY UP ALMERIA;;€ 1,05;;KG;€ 0,00; € -   ;COC022-A20-198;1;2021.02.11;ALMERIA;GHU 151;KUONI;RZR 011 / WCW 983;€ 3 400;2021.02.14;;;;;;;;;;;;;;;;
;1;WRAPPING;EJIDOZONE;GHU;;THURSDAY UP ALMERIA;;;;;€ 0,00; € -   ;;;2021.02.11;ALMERIA;GHU 151;KUONI;RZR 011 / WCW 983;€ 3 400;2021.02.14;;;;;;;;;;;;;;;;
1;2;AUBERGINE II;KOPFSALAT;GHU;;THURSDAY UP ALMERIA;;;;;;;;;2021.02.11;ALMERIA;GHU 151;KUONI;RZR 011 / WCW 983;€ 3 400;2021.02.14;;;;;;;;;;;;;;;;
;8;CAPSICUM PALERMO I;MK FRESH;GHU;ALDI;;;€ 1,48;;KG;;;;;2021.02.11;MAROKKÓ;H083;MK FRESH;80535 A 55 / 6774 05;€ 0;2021.02.17;;;;;;;;;;;;;;;;
;4;CAPSICUM CAL. YELLOW;MK FRESH;GHU;ALDI;;;€ 1,35;;KG;;;;;2021.02.11;MAROKKÓ;H083;MK FRESH;80535 A 55 / 6774 05;€ 0;2021.02.17;;;;;;;;;;;;;;;;
;4;CUCUMBER FRENCH;MK FRESH;GHU;ALDI;;;€ 0,90;;KG;;;;;2021.02.11;MAROKKÓ;H083;MK FRESH;80535 A 55 / 6774 05;€ 0;2021.02.17;;;;;;;;;;;;;;;;
;2;TOM. CHERRY;MK FRESH;GHU;GHUBU/GHUSZ;;;€ 1,40;;KG;;;;;2021.02.11;MAROKKÓ;H083;MK FRESH;80535 A 55 / 6774 05;€ 0;2021.02.17;;;;;;;;;;;;;;;;
;4;COURGETTE;MK FRESH;GHU;ALDI;;;€ 0,90;;KG;;;;;2021.02.11;MAROKKÓ;H083;MK FRESH;80535 A 55 / 6774 05;€ 0;2021.02.17;;;;;;;;;;;;;;;;
;4;AUBERGINE I;MK FRESH;GHU;ALDI/GHUBU/GHUSZ;;;€ 1,25;;KG;;;;;2021.02.11;MAROKKÓ;H083;MK FRESH;80535 A 55 / 6774 05;€ 0;2021.02.17;;;;;;;;;;;;;;;;
;8,5;CAPSICUM CORNO WHITE I;MK FRESH;GHU;TESCO;;;€ 1,60;;KG;;;;;2021.02.11;MAROKKÓ;H084;MK FRESH;18173 A 81 / 7271 05;€ 0;2021.02.18;;;;;;;;;;;;;;;;
;2;CAPSICUM PALERMO;MK FRESH;GHU;ALDI;;;€ 1,48;;KG;;;;;2021.02.11;MAROKKÓ;H084;MK FRESH;18173 A 81 / 7271 05;€ 0;2021.02.18;;;;;;;;;;;;;;;;
;5;CAPSICUM CAL. RED I;MK FRESH;GHU;ALDI;;;€ 1,30;;KG;;;;;2021.02.11;MAROKKÓ;H084;MK FRESH;18173 A 81 / 7271 05;€ 0;2021.02.18;;;;;;;;;;;;;;;;
;8;COURGETTE;MK FRESH;GHU;ALDI;;;€ 0,80;;KG;;;;;2021.02.11;MAROKKÓ;H084;MK FRESH;18173 A 81 / 7271 05;€ 0;2021.02.18;;;;;;;;;;;;;;;;
;0,5;CAPSICUM CAL. YELLOW;MK FRESH;GHU;ALDI;;;€ 1,35;;KG;;;;;2021.02.11;MAROKKÓ;H084;MK FRESH;18173 A 81 / 7271 05;€ 0;2021.02.18;;;;;;;;;;;;;;;;
;2;CUCUMBER FRENCH;MK FRESH;GHU;ALDI;;;€ 0,90;;KG;;;;;2021.02.11;MAROKKÓ;H084;MK FRESH;18173 A 81 / 7271 05;€ 0;2021.02.18;;;;;;;;;;;;;;;;
10;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;MONDAY MORNING;;;;;;;;;2021.02.11;MURCIA;LOG105;KERMOR;SKV 952 / XZS 115;€ 3 000;2021.02.15;;;;;;;;;;;;;;;;
10;;SPAR HU BICSKE V/1066;AGESCO;AGESCO;SPAR HU BICSKE V/1066;MONDAY NIGHT;;;;;;;;;2021.02.11;MURCIA;LOG105;KERMOR;SKV 952 / XZS 115;€ 3 000;2021.02.15;;;;;;;;;;;;;;;;
13;;SPAR HU ÜLLŐ V/1065;AGESCO;AGESCO;SPAR HU ÜLLŐ V/1065;MONDAY NIGHT;;;;;;;;;2021.02.11;MURCIA;LOG105;KERMOR;SKV 952 / XZS 115;€ 3 000;2021.02.15;;;;;;;;;;;;;;;;
18;;TESCO HU 139;KOPFSALAT;KOPFSALAT;TESCO HU 139;SUNDAY ;;;;;;;;;2021.02.12;BARCELONA;LOG106;KÓNYA;SHB 850 / WEW 303;€ 2 200;2021.02.14;;;;;;;;;;;;;;;;
15;;TESCO HU 140;KOPFSALAT;KOPFSALAT;TESCO HU 140;MONDAY;;;;;;;;;2021.02.12;BARCELONA;LOG106;KÓNYA;SHB 850 / WEW 303;€ 2 200;2021.02.14;;;;;;;;;;;;;;;;
2;;SPAR HU BICSKE V/1062;AGESCO;AGESCO;SPAR HU BICSKE V/1062;MONDAY NIGHT;;;;;;;;;2021.02.12;BARCELONA;LOG107;HRT;BH 36 AXD / B 504 AYD;€ 2 300;2021.02.15;;;;;;;;;;;;;;;;
2;;SPAR HU ÜLLŐ V/1061;AGESCO;AGESCO;SPAR HU ÜLLŐ V/1061;MONDAY NIGHT;;;;;;;;;2021.02.12;BARCELONA;LOG107;HRT;BH 36 AXD / B 504 AYD;€ 2 300;2021.02.15;;;;;;;;;;;;;;;;
6;;SPAR HU BICSKE V/1068;AGESCO;AGESCO;SPAR HU BICSKE V/1068;MONDAY NIGHT;;;;;;;;;2021.02.12;BARCELONA;LOG107;HRT;BH 36 AXD / B 504 AYD;€ 2 300;2021.02.15;;;;;;;;;;;;;;;;
9;;SPAR HU ÜLLŐ V/1067;AGESCO;AGESCO;SPAR HU ÜLLŐ V/1067;MONDAY NIGHT;;;;;;;;;2021.02.12;BARCELONA;LOG107;HRT;BH 36 AXD / B 504 AYD;€ 2 300;2021.02.15;;;;;;;;;;;;;;;;
2;;TESCO HU 140/C;KOPFSALAT;KOPFSALAT;TESCO HU 140/C;MONDAY;;;;;;;;;2021.02.12;BARCELONA;LOG107;HRT;BH 36 AXD / B 504 AYD;€ 2 300;2021.02.15;;;;;;;;;;;;;;;;
11,5;;SPAR HU BICSKE 133;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 133;MONDAY NIGHT;;;;;;;;;2021.02.12;BARCELONA;LOG107;HRT;BH 36 AXD / B 504 AYD;€ 2 300;2021.02.15;;;;;;;;;;;;;;;;
